A4GALT	ENSG00000128274
SKI	ENSG00000157933
SKIV2L	ENSG00000223493
SLA	ENSG00000155926
SLC10A2	ENSG00000125255
SLC11A1	ENSG00000018280
SLC11A2	ENSG00000110911
SLC12A1	ENSG00000074803
SLC12A3	ENSG00000070915
SLC12A5	ENSG00000124140
SLC12A6	ENSG00000140199
SLC13A5	ENSG00000141485
SLC14A1	ENSG00000141469
SLC16A12	ENSG00000152779
SLC16A1	ENSG00000155380
SLC16A2	ENSG00000147100
SLC17A2	ENSG00000112337
SLC17A3	ENSG00000124564
SLC17A5	ENSG00000119899
SLC17A8	ENSG00000179520
SLC17A9	ENSG00000101194
SLC19A2	ENSG00000117479
SLC19A3	ENSG00000135917
SLC1A1	ENSG00000106688
SLC1A3	ENSG00000079215
SLC1A4	ENSG00000115902
SLC20A2	ENSG00000168575
SLC22A12	ENSG00000197891
SLC22A4	ENSG00000197208
SLC22A5	ENSG00000197375
SLC24A1	ENSG00000074621
SLC24A4	ENSG00000140090
SLC24A5	ENSG00000188467
SLC25A12	ENSG00000115840
SLC25A13	ENSG00000004864
SLC25A15	ENSG00000102743
SLC25A19	ENSG00000125454
SLC25A1	ENSG00000100075
SLC25A20	ENSG00000178537
SLC25A22	ENSG00000177542
SLC25A26	ENSG00000144741
SLC25A32	ENSG00000164933
SLC25A38	ENSG00000144659
SLC25A3	ENSG00000075415
SLC25A46	ENSG00000164209
SLC25A4	ENSG00000151729
SLC26A2	ENSG00000155850
SLC26A3	ENSG00000091138
SLC26A4	ENSG00000091137
SLC26A5	ENSG00000170615
SLC26A8	ENSG00000112053
SLC27A4	ENSG00000167114
SLC29A3	ENSG00000198246
SLC2A10	ENSG00000197496
SLC2A1	ENSG00000117394
SLC2A2	ENSG00000163581
SLC2A9	ENSG00000109667
SLC30A10	ENSG00000196660
SLC30A2	ENSG00000158014
SLC30A8	ENSG00000164756
SLC33A1	ENSG00000169359
SLC34A1	ENSG00000131183
SLC34A2	ENSG00000157765
SLC34A3	ENSG00000198569
SLC35A1	ENSG00000164414
SLC35A2	ENSG00000102100
SLC35A3	ENSG00000117620
SLC35C1	ENSG00000181830
SLC35D1	ENSG00000116704
SLC36A2	ENSG00000186335
SLC37A4	ENSG00000137700
SLC38A8	ENSG00000166558
SLC39A13	ENSG00000165915
SLC39A4	ENSG00000147804
SLC39A5	ENSG00000139540
SLC39A8	ENSG00000138821
SLC3A1	ENSG00000138079
SLC40A1	ENSG00000138449
SLC45A2	ENSG00000164175
SLC46A1	ENSG00000076351
SLC4A11	ENSG00000088836
SLC4A1	ENSG00000004939
SLC4A4	ENSG00000080493
SLC52A1	ENSG00000132517
SLC52A2	ENSG00000185803
SLC52A3	ENSG00000101276
SLC5A1	ENSG00000100170
SLC5A2	ENSG00000140675
SLC5A5	ENSG00000105641
SLC5A7	ENSG00000115665
SLC6A14	ENSG00000268104
SLC6A17	ENSG00000197106
SLC6A19	ENSG00000174358
SLC6A1	ENSG00000157103
SLC6A20	ENSG00000163817
SLC6A2	ENSG00000103546
SLC6A3	ENSG00000142319
SLC6A4	ENSG00000108576
SLC6A5	ENSG00000165970
SLC6A8	ENSG00000130821
SLC7A14	ENSG00000013293
SLC7A7	ENSG00000155465
SLC7A9	ENSG00000021488
SLC9A1	ENSG00000090020
SLC9A3	ENSG00000281861
SLC9A3R1	ENSG00000109062
SLC9A6	ENSG00000198689
SLC9A9	ENSG00000181804
SLCO1B1	ENSG00000134538
SLCO1B3	ENSG00000111700
SLCO2A1	ENSG00000174640
SLFN14	ENSG00000236320
SLITRK1	ENSG00000178235
SLITRK6	ENSG00000184564
SLURP1	ENSG00000126233
SLX4	ENSG00000188827
SMAD1	ENSG00000170365
SMAD3	ENSG00000166949
SMAD4	ENSG00000141646
SMAD6	ENSG00000137834
SMAD7	ENSG00000101665
SMAD9	ENSG00000120693
SMAP2	ENSG00000084070
SMARCA2	ENSG00000080503
SMARCA4	ENSG00000127616
SMARCAD1	ENSG00000163104
SMARCAL1	ENSG00000138375
SMARCB1	ENSG00000099956
SMARCE1	ENSG00000073584
SMC2	ENSG00000136824
SMC3	ENSG00000108055
SMCHD1	ENSG00000101596
SMG9	ENSG00000105771
SMIM1	ENSG00000235169
SMN1	ENSG00000205571
SMN2	ENSG00000205571
SMOC1	ENSG00000198732
SMOC2	ENSG00000112562
SMO	ENSG00000128602
SMPD1	ENSG00000166311
SMPX	ENSG00000091482
SMS	ENSG00000102172
SNAI2	ENSG00000019549
SNAP25	ENSG00000132639
SNAP29	ENSG00000099940
SNCA	ENSG00000145335
SNCB	ENSG00000074317
SNIP1	ENSG00000163877
SNORA2C	ENSG00000221491
SNRNP200	ENSG00000144028
SNRPB	ENSG00000125835
SNRPE	ENSG00000182004
SNRPN	ENSG00000128739
SNTA1	ENSG00000101400
SNX10	ENSG00000086300
SNX14	ENSG00000135317
SOBP	ENSG00000112320
SOD1	ENSG00000142168
SOD2	ENSG00000112096
SOD3	ENSG00000109610
SORL1	ENSG00000137642
SORT1	ENSG00000134243
SOS1	ENSG00000115904
SOS2	ENSG00000100485
SOST	ENSG00000167941
SOX10	ENSG00000100146
SOX11	ENSG00000176887
SOX17	ENSG00000164736
SOX18	ENSG00000203883
SOX2	ENSG00000181449
SOX2-OT	ENSG00000242808
SOX3	ENSG00000134595
SOX5	ENSG00000134532
SOX9	ENSG00000125398
SP110	ENSG00000135899
SP7	ENSG00000170374
SPAG1	ENSG00000104450
SPARC	ENSG00000113140
SPAST	ENSG00000021574
SPATA16	ENSG00000144962
SPATA5	ENSG00000145375
SPATA7	ENSG00000042317
SPECC1L	ENSG00000100014
SPEG	ENSG00000072195
SPG11	ENSG00000104133
SPG20	ENSG00000133104
SPG21	ENSG00000090487
SPG7	ENSG00000197912
SPINK1	ENSG00000164266
SPINK5	ENSG00000133710
SPINT2	ENSG00000167642
SPN	ENSG00000197471
SPRED1	ENSG00000166068
SPR	ENSG00000116096
SPRTN	ENSG00000010072
SPRY2	ENSG00000136158
SPRY4	ENSG00000187678
SPTA1	ENSG00000163554
SPTAN1	ENSG00000197694
SPTB	ENSG00000070182
SPTBN2	ENSG00000173898
SPTLC1	ENSG00000090054
SPTLC2	ENSG00000100596
SQSTM1	ENSG00000161011
SRA1	ENSG00000213523
SRCAP	ENSG00000080603
SRC	ENSG00000197122
SRD5A2	ENSG00000277893
SRD5A3	ENSG00000128039
SRGAP1	ENSG00000196935
SRP72	ENSG00000174780
SRPX2	ENSG00000102359
SRY	ENSG00000184895
SSR4	ENSG00000180879
SSTR5	ENSG00000162009
SSX1	ENSG00000126752
SSX2	ENSG00000241476
ST14	ENSG00000149418
ST3GAL3	ENSG00000126091
STAC3	ENSG00000185482
STAG3	ENSG00000066923
STAMBP	ENSG00000124356
STAR	ENSG00000147465
STAT1	ENSG00000115415
STAT2	ENSG00000170581
STAT3	ENSG00000168610
STAT4	ENSG00000138378
STAT5B	ENSG00000173757
STEAP3	ENSG00000115107
STIL	ENSG00000123473
STIM1	ENSG00000167323
STK11	ENSG00000118046
STK4	ENSG00000101109
STOX1	ENSG00000165730
STRA6	ENSG00000137868
STRADA	ENSG00000266173
STRC	ENSG00000242866
STS	ENSG00000101846
STT3A	ENSG00000134910
STT3B	ENSG00000163527
STUB1	ENSG00000103266
STX11	ENSG00000135604
STX16	ENSG00000124222
STX1B	ENSG00000099365
STXBP1	ENSG00000136854
STXBP2	ENSG00000076944
SUCLA2	ENSG00000136143
SUCLG1	ENSG00000163541
SUFU	ENSG00000107882
SUMF1	ENSG00000144455
SUMO1	ENSG00000116030
SUMO4	ENSG00000177688
SUOX	ENSG00000139531
SURF1	ENSG00000148290
SYCE1	ENSG00000171772
SYCP3	ENSG00000139351
SYN1	ENSG00000008056
SYN2	ENSG00000157152
SYNE1	ENSG00000131018
SYNE2	ENSG00000054654
SYNE4	ENSG00000181392
SYNGAP1	ENSG00000197283
SYNJ1	ENSG00000159082
SYP	ENSG00000102003
SYT14	ENSG00000143469
SYT2	ENSG00000143858
SZT2	ENSG00000198198
TAB2	ENSG00000055208
TAC3	ENSG00000166863
TACO1	ENSG00000136463
TACR3	ENSG00000169836
TACSTD2	ENSG00000184292
TAF1	ENSG00000147133
TAF2	ENSG00000064313
TAF4B	ENSG00000141384
TAL1	ENSG00000162367
TAL2	ENSG00000186051
TALDO1	ENSG00000177156
TANGO2	ENSG00000183597
TAP1	ENSG00000232367
TAP2	ENSG00000232326
TAPBP	ENSG00000206281
TAPT1	ENSG00000169762
TARDBP	ENSG00000120948
TARS2	ENSG00000143374
TAS2R16	ENSG00000128519
TAS2R38	ENSG00000257138
TAT	ENSG00000198650
TAZ	ENSG00000102125
TBC1D20	ENSG00000125875
TBC1D24	ENSG00000162065
TBC1D4	ENSG00000136111
TBC1D7	ENSG00000145979
TBCE	ENSG00000116957
TBCK	ENSG00000145348
TBK1	ENSG00000183735
TBL1XR1	ENSG00000177565
TBP	ENSG00000112592
TBX15	ENSG00000092607
TBX18	ENSG00000112837
TBX19	ENSG00000143178
TBX1	ENSG00000184058
TBX20	ENSG00000164532
TBX21	ENSG00000073861
TBX22	ENSG00000277800
TBX3	ENSG00000135111
TBX4	ENSG00000121075
TBX5	ENSG00000089225
TBX6	ENSG00000149922
TBXA2R	ENSG00000006638
TBXAS1	ENSG00000059377
TCAP	ENSG00000173991
TCF12	ENSG00000140262
TCF3	ENSG00000071564
TCF4	ENSG00000196628
TCF7L2	ENSG00000148737
TCIRG1	ENSG00000110719
TCN2	ENSG00000185339
TCOF1	ENSG00000070814
TCTN2	ENSG00000168778
TCTN3	ENSG00000119977
TDGF1	ENSG00000241186
TDP1	ENSG00000042088
TDP2	ENSG00000111802
TDRD7	ENSG00000196116
TEAD1	ENSG00000187079
TECPR2	ENSG00000196663
TECR	ENSG00000099797
TECTA	ENSG00000109927
TEK	ENSG00000120156
TENM3	ENSG00000218336
TENM4	ENSG00000149256
T	ENSG00000164458
TERC	
TERT	ENSG00000164362
TET2	ENSG00000168769
TEX11	ENSG00000120498
TFAP2A	ENSG00000137203
TFAP2B	ENSG00000008196
TFE3	ENSG00000068323
TF	ENSG00000091513
TFG	ENSG00000114354
TFR2	ENSG00000106327
TFRC	ENSG00000072274
TGDS	ENSG00000088451
TG	ENSG00000042832
TGFB1	ENSG00000105329
TGFB2	ENSG00000092969
TGFB3	ENSG00000119699
TGFBI	ENSG00000120708
TGFBR1	ENSG00000106799
TGFBR2	ENSG00000163513
TGM1	ENSG00000092295
TGM5	ENSG00000104055
TGM6	ENSG00000166948
THAP1	ENSG00000131931
THBD	ENSG00000178726
THBS2	ENSG00000186340
TH	ENSG00000180176
THOC2	ENSG00000125676
THOC6	ENSG00000131652
THPO	ENSG00000090534
THRA	ENSG00000126351
THRB	ENSG00000151090
TIA1	ENSG00000116001
TICAM1	ENSG00000127666
TIMM8A	ENSG00000126953
TIMP3	ENSG00000100234
TINF2	ENSG00000092330
TIRAP	ENSG00000150455
TJP2	ENSG00000119139
TK2	ENSG00000166548
TKT	ENSG00000163931
TLE6	ENSG00000104953
TLL1	ENSG00000038295
TLR1	ENSG00000174125
TLR2	ENSG00000137462
TLR3	ENSG00000164342
TLR5	ENSG00000187554
TM4SF20	ENSG00000168955
TMC1	ENSG00000165091
TMC6	ENSG00000141524
TMC8	ENSG00000167895
TMCO1	ENSG00000143183
TMEM126A	ENSG00000171202
TMEM127	ENSG00000135956
TMEM138	ENSG00000149483
TMEM165	ENSG00000134851
TMEM173	ENSG00000184584
TMEM199	ENSG00000244045
TMEM216	ENSG00000187049
TMEM231	ENSG00000205084
TMEM237	ENSG00000155755
TMEM240	ENSG00000205090
TMEM38B	ENSG00000095209
TMEM43	ENSG00000170876
TMEM5	ENSG00000118600
TMEM67	ENSG00000164953
TMEM70	ENSG00000175606
TMEM98	ENSG00000006042
TMIE	ENSG00000181585
TMLHE	ENSG00000185973
TMPO	ENSG00000120802
TMPRSS3	ENSG00000160183
TMPRSS6	ENSG00000187045
TNC	ENSG00000041982
TNFAIP3	ENSG00000118503
TNF	ENSG00000223952
TNFRSF10B	ENSG00000120889
TNFRSF11A	ENSG00000141655
TNFRSF11B	ENSG00000164761
TNFRSF13B	ENSG00000240505
TNFRSF13C	ENSG00000159958
TNFRSF1A	ENSG00000067182
TNFRSF4	ENSG00000186827
TNFSF11	ENSG00000120659
TNFSF4	ENSG00000117586
TNNC1	ENSG00000114854
TNNI2	ENSG00000130598
TNNI3	ENSG00000129991
TNNI3K	ENSG00000116783
TNNT1	ENSG00000105048
TNNT2	ENSG00000118194
TNNT3	ENSG00000130595
TNPO3	ENSG00000064419
TNXB	ENSG00000229341
TOP1	ENSG00000198900
TOP2A	ENSG00000131747
TOPORS	ENSG00000197579
TOR1A	ENSG00000136827
TP53	ENSG00000141510
TP63	ENSG00000073282
TPCN2	ENSG00000162341
TPH2	ENSG00000139287
TPI1	ENSG00000111669
TPK1	ENSG00000196511
TPM1	ENSG00000140416
TPM2	ENSG00000198467
TPM3	ENSG00000143549
TPMT	ENSG00000137364
TPO	ENSG00000115705
TPP1	ENSG00000166340
TPRN	ENSG00000176058
TRAC	
TRAF3	ENSG00000131323
TRAF3IP1	ENSG00000204104
TRAF3IP2	ENSG00000056972
TRAIP	ENSG00000183763
TRAPPC11	ENSG00000168538
TRAPPC2	ENSG00000196459
TRAPPC9	ENSG00000167632
TRA-TGC7-1	
TRDN	ENSG00000186439
TREM2	ENSG00000095970
TREX1	ENSG00000213689
TRHR	ENSG00000174417
TRIM2	ENSG00000109654
TRIM32	ENSG00000119401
TRIM37	ENSG00000108395
TRIOBP	ENSG00000100106
TRIP11	ENSG00000100815
TRIP4	ENSG00000103671
TRMT10A	ENSG00000145331
TRMT5	ENSG00000126814
TRMU	ENSG00000100416
TRNT1	ENSG00000072756
TRPA1	ENSG00000104321
TRPC3	ENSG00000138741
TRPC6	ENSG00000137672
TRPM1	ENSG00000134160
TRPM4	ENSG00000130529
TRPM6	ENSG00000119121
TRPM7	ENSG00000092439
TRPS1	ENSG00000104447
TRPV3	ENSG00000167723
TRPV4	ENSG00000111199
TSC1	ENSG00000165699
TSC2	ENSG00000103197
TSEN2	ENSG00000154743
TSEN34	ENSG00000170892
TSEN54	ENSG00000182173
TSFM	ENSG00000123297
TSG101	ENSG00000074319
TSHB	ENSG00000134200
TSHR	ENSG00000165409
TSHZ1	ENSG00000179981
TSPAN12	ENSG00000106025
TSPAN7	ENSG00000156298
TSPEAR	ENSG00000175894
TSPYL1	ENSG00000189241
TSR2	ENSG00000158526
TTBK2	ENSG00000128881
TTC19	ENSG00000011295
TTC21B	ENSG00000123607
TTC37	ENSG00000198677
TTC7A	ENSG00000068724
TTC8	ENSG00000165533
TTF1	ENSG00000125482
TTF2	ENSG00000116830
TTI2	ENSG00000129696
TTLL5	ENSG00000119685
TTN	ENSG00000155657
TTPA	ENSG00000137561
TTR	ENSG00000118271
TUBA1A	ENSG00000167552
TUBA4A	ENSG00000127824
TUBA8	ENSG00000183785
TUBB1	ENSG00000101162
TUBB2A	ENSG00000137267
TUBB2B	ENSG00000137285
TUBB3	ENSG00000258947
TUBB4A	ENSG00000104833
TUBB8	ENSG00000261456
TUBB	ENSG00000196230
TUB	ENSG00000166402
TUBG1	ENSG00000131462
TUBGCP4	ENSG00000137822
TUBGCP6	ENSG00000128159
TUFM	ENSG00000178952
TULP1	ENSG00000112041
TUSC3	ENSG00000104723
TWIST1	ENSG00000122691
TWIST2	ENSG00000233608
TXN2	ENSG00000100348
TXNL4A	ENSG00000141759
TYK2	ENSG00000105397
TYMP	ENSG00000025708
TYR	ENSG00000077498
TYROBP	ENSG00000011600
TYRP1	ENSG00000107165
UBA1	ENSG00000130985
UBE2A	ENSG00000077721
UBE2T	ENSG00000077152
UBE3A	ENSG00000114062
UBE3B	ENSG00000151148
UBIAD1	ENSG00000120942
UBQLN2	ENSG00000188021
UBR1	ENSG00000159459
UCHL1	ENSG00000154277
UCP1	ENSG00000109424
UCP2	ENSG00000175567
UCP3	ENSG00000175564
UFSP2	ENSG00000109775
UGT1A1	ENSG00000241635
UGT2B17	ENSG00000197888
UMOD	ENSG00000169344
UMPS	ENSG00000114491
UNC119	ENSG00000109103
UNC13D	ENSG00000092929
UNC45B	ENSG00000141161
UNC80	ENSG00000144406
UNC93B1	ENSG00000110057
UNG	ENSG00000076248
UPB1	ENSG00000100024
UPF3B	ENSG00000125351
UQCC2	ENSG00000137288
UQCC3	ENSG00000204922
UQCRB	ENSG00000156467
UQCRC2	ENSG00000140740
UQCRQ	ENSG00000164405
UROC1	ENSG00000159650
UROD	ENSG00000126088
UROS	ENSG00000188690
USF1	ENSG00000158773
USH1C	ENSG00000006611
USH1G	ENSG00000182040
USH2A	ENSG00000042781
USP9X	ENSG00000124486
USP9Y	ENSG00000114374
UVSSA	ENSG00000163945
VAMP1	ENSG00000139190
VANGL1	ENSG00000173218
VANGL2	ENSG00000162738
VAPB	ENSG00000124164
VARS2	ENSG00000137411
VAX1	ENSG00000148704
VCAN	ENSG00000038427
VCL	ENSG00000035403
VCP	ENSG00000165280
VDR	ENSG00000111424
VEGFC	ENSG00000150630
VHL	ENSG00000134086
VIM	ENSG00000026025
VIPAS39	ENSG00000151445
VKORC1	ENSG00000167397
VLDLR	ENSG00000147852
VMA21	ENSG00000160131
VNN1	ENSG00000112299
VPS11	ENSG00000160695
VPS13A	ENSG00000197969
VPS13B	ENSG00000132549
VPS13C	ENSG00000129003
VPS33B	ENSG00000184056
VPS35	ENSG00000069329
VPS37A	ENSG00000155975
VPS45	ENSG00000136631
VPS53	ENSG00000141252
VRK1	ENSG00000100749
VSX1	ENSG00000100987
VWA3B	ENSG00000168658
VWF	ENSG00000110799
WAC	ENSG00000095787
WAS	ENSG00000015285
WDPCP	ENSG00000143951
WDR11	ENSG00000120008
WDR19	ENSG00000157796
WDR34	ENSG00000119333
WDR35	ENSG00000118965
WDR36	ENSG00000134987
WDR45	ENSG00000196998
WDR60	ENSG00000126870
WDR62	ENSG00000075702
WDR72	ENSG00000166415
WDR73	ENSG00000177082
WDR81	ENSG00000167716
WFS1	ENSG00000109501
WHRN	ENSG00000095397
WHSC1L1	ENSG00000147548
WIPF1	ENSG00000115935
WISP3	ENSG00000112761
WNK1	ENSG00000060237
WNK4	ENSG00000126562
WNT10A	ENSG00000135925
WNT10B	ENSG00000169884
WNT1	ENSG00000125084
WNT3	ENSG00000277641
WNT4	ENSG00000162552
WNT5A	ENSG00000114251
WNT7A	ENSG00000154764
WRAP53	ENSG00000141499
WRN	ENSG00000165392
WT1-AS	
WT1	ENSG00000184937
WWC1	ENSG00000113645
WWOX	ENSG00000186153
XBP1	ENSG00000100219
XCE	
XDH	ENSG00000158125
XG	ENSG00000124343
XIAP	ENSG00000101966
XIST	ENSG00000229807
XK	ENSG00000047597
XPA	ENSG00000136936
XPC	ENSG00000154767
XPNPEP2	ENSG00000122121
XPNPEP3	ENSG00000196236
XPR1	ENSG00000143324
XRCC3	ENSG00000126215
XRCC4	ENSG00000152422
XYLT1	ENSG00000103489
XYLT2	ENSG00000015532
YAP1	ENSG00000137693
YARS2	ENSG00000139131
YARS	ENSG00000134684
ZAP70	ENSG00000115085
ZBTB16	ENSG00000109906
ZBTB18	ENSG00000179456
ZBTB20	ENSG00000181722
ZBTB24	ENSG00000112365
ZBTB42	ENSG00000179627
ZC4H2	ENSG00000126970
ZDHHC15	ENSG00000102383
ZDHHC9	ENSG00000188706
ZEB1-AS1	
ZEB1	ENSG00000148516
ZEB2	ENSG00000169554
ZFHX3	ENSG00000140836
ZFP57	ENSG00000234669
ZFPM2	ENSG00000169946
ZFYVE26	ENSG00000072121
ZFYVE27	ENSG00000155256
ZIC1	ENSG00000152977
ZIC2	ENSG00000043355
ZIC3	ENSG00000156925
ZMPSTE24	ENSG00000084073
ZMYND10	ENSG00000004838
ZMYND11	ENSG00000015171
ZMYND15	ENSG00000141497
ZNF141	ENSG00000131127
ZNF335	ENSG00000198026
ZNF365	ENSG00000138311
ZNF408	ENSG00000175213
ZNF423	ENSG00000102935
ZNF469	ENSG00000225614
ZNF513	ENSG00000163795
ZNF644	ENSG00000122482
ZNF687	ENSG00000143373
ZNF711	ENSG00000147180
ZNF750	ENSG00000141579
ZNF81	ENSG00000197779
ZP1	ENSG00000149506
ZSWIM6	ENSG00000130449
